Album Name,Song Name
Enaya Bet-hebbak,Mayehremnish Mennak
Enaya Bet-hebbak,Enty Elly 'Aamalty
Enaya Bet-hebbak,Rabbena Yewaffa'ik
Enaya Bet-hebbak,Ya'any Khalas
Enaya Bet-hebbak,Etlaa' Men Doul
Enaya Bet-hebbak,Enaya Bet-hebbak
Enaya Bet-hebbak,Kol Marra
Enaya Bet-hebbak,Nour Einy
Enaya Bet-hebbak,Hawsallek
Hob,Arrab Habiby
Hob,Hob
Hob,Lamma Betkoun Ba'eid
Hob,Enty Nesity Nafsik
Hob,El Wehda Betea'telny
Hob,Hara'et Dam
Hob,Forsa Akhira
Hob,Enta Hayati
Hob,Awseflak
Hob,Lessa Bahebbak
Hob,Yana Yana
Hob,Olly Bahebbak
Hob,Mehtaglik Yamma
بحبك,Hadalaany - From Bhabak Movie
بحبك,"Wenta Be3eed - From ""Bhabak"" Movie"
بحبك,Habitha Ya Nas - From Bhabak
بحبك,Enta Ekhtyar - From Bhabak Movie
بحبك,Haytna - From Bhabak Movie
بحبك,Hatgawzek - From Bahbk Movie
Leeh Talah (Remix) [Live],Leeh Talah (Remix) - Live
Ramadan Kareem,Ramadan Kareem
Ya Farha,Ya Farha
Marina Live Concert 2021,Ya Bent El Ea Marina Live Concert
Marina Live Concert 2021,Ergaaly Marina Live Concert
Marina Live Concert 2021,Ba3eed 3an 3enny Marina Live Concert
Marina Live Concert 2021,Har2et Dam Marina Live Concert
Saaba (Club Remix),Saaba - Club Remix
